CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-NEUC2023-005;NEUC;NEU;21/09/2023;01/01/2024 al 31/12/2040;21/09/2023;28/09/2023;27/10/2023;10/11/2023;4/12/2023;Cerrada y desierta;Regulado;NO;;;;16/11/2023
CP-EBPC2023-006;EBPC;BAJO PUTUMAYO;2/10/2023;23/11/2023 al 31/12/2033;3/10/2023;6/10/2023;7/11/2023;14/11/2023;5/12/2023;Cerrada y desierta;Regulado;NO;;;;15/11/2023
CP-EMIC2023-003;EMIC;EMCALI;15/09/2023;01/01/2024 al 31/12/2026;15/09/2023;6/10/2023;8/11/2023;22/11/2023;14/12/2023;Cancelada;Regulado;NO;7/11/2023;;22/11/2023;
CP-ESVC2023-004;ESVC;SIGLO XXI;21/09/2023;01/01/2024 al 30/06/2024;22/09/2023;10/10/2023;9/11/2023;22/11/2023;14/12/2023;Cerrada y desierta;Regulado;NO;;;;22/11/2023
CP-EPMC2023-003;EPMC;EPM;14/09/2023;01/01/2024 al 31/12/2028;19/09/2023;10/10/2023;9/11/2023;23/11/2023;15/12/2023;Cerrada y adjudicada;Regulado;NO;;;;20/12/2023
CP-ENDC2023-003;ENDC;ENEL;26/09/2023;01/12/2023 al 31/12/2038;27/09/2023;11/10/2023;10/11/2023;24/11/2023;14/12/2023;Cerrada y adjudicada;Regulado;NO;;;;3/01/2024
CP-NEUC2023-006;NEUC;NEU;20/10/2023;01/01/2024 al 31/12/2040;20/10/2023;24/10/2023;23/11/2023;6/12/2023;15/12/2023;Cerrada y adjudicada;Regulado;NO;;;;18/01/2024
CP-EMIC2023-004;EMIC;EMCALI;19/09/2023;01/01/2024 al 31/12/2036;19/09/2023;10/10/2023;24/11/2023;7/12/2023;2/01/2024;Cancelada;No Regulado;NO;7/11/2023;;24/11/2023;
CP-GNCC2023-003;GNCC;VATIA;13/10/2023;01/02/2024 al 31/12/2027;13/10/2023;30/10/2023;29/11/2023;13/12/2023;5/01/2024;Cerrada y desierta;Regulado;NO;;;;19/12/2023
CP-CEOC2023-002;CEOC;CEO S.A.S E.S.P.;8/10/2023;01/01/2025 al 31/12/2029;10/10/2023;1/11/2023;1/12/2023;15/12/2023;10/01/2024;Cerrada y desierta;Regulado;NO;;;;16/12/2023
CP-ESSC2023-004;ESSC;ESSA;9/10/2023;01/02/2024 al 31/12/2033;10/10/2023;1/11/2023;1/12/2023;15/12/2023;10/01/2024;Cerrada y adjudicada;Regulado;NO;;;;22/01/2024
CP-GNCC2023-004;GNCC;VATIA;13/10/2023;01/02/2024 al 31/12/2034;18/10/2023;1/11/2023;1/12/2023;15/12/2023;29/12/2023;Cerrada y adjudicada;Regulado;NO;;;;3/01/2024
CP-SOEC2023-001;SOEC;SOEN S.A. E.S.P.;12/10/2023;01/02/2024 al 31/01/2034;12/10/2023;3/11/2023;11/12/2023;18/12/2023;11/01/2024;Cerrada y desierta;No Regulado;NO;;;;19/12/2023
CP-EEPC2023-005;EEPC;EEP;20/10/2023;01/01/2024 al 31/12/2027;20/10/2023;7/11/2023;6/12/2023;20/12/2023;15/01/2024;Cerrada y adjudicada;Regulado;NO;;;;16/01/2024
CP-CEOC2023-003;CEOC;CEO S.A.S E.S.P.;25/10/2023;01/01/2024 al 31/12/2024;27/10/2023;8/11/2023;11/12/2023;22/12/2023;6/01/2024;Cerrada y adjudicada;Regulado;NO;;;;17/01/2024
CP-CSSC2023-003;CSSC;Air-e;26/10/2023;18/01/2024 al 31/12/2036;26/10/2023;9/11/2023;11/12/2023;22/12/2023;17/01/2024;Cerrada y desierta;Regulado;NO;;;;26/12/2023
CP-CASC2023-002;CASC;ENERCA;8/11/2023;01/01/2024 al 31/12/2024;8/11/2023;16/11/2023;15/12/2023;28/12/2023;22/01/2024;Cerrada y desierta;Regulado;NO;;;;29/12/2023
CP-BIAC2023-007;BIAC;BIAE;31/10/2023;01/02/2024 al 31/12/2038;31/10/2023;16/11/2023;15/12/2023;29/12/2023;22/01/2024;Cerrada y adjudicada;Regulado;NO;;;;29/01/2024
CP-EBPC2023-007;EBPC;BAJO PUTUMAYO;9/11/2023;01/01/2024 al 31/12/2033;9/11/2023;17/11/2023;18/12/2023;29/12/2023;23/01/2024;Cerrada y desierta;Regulado;NO;;;;4/01/2024
CP-RTQC2023-004;RTQC;RUITOQUE;26/10/2023;01/02/2024 al 31/12/2027;26/10/2023;17/11/2023;18/12/2023;30/12/2023;23/01/2024;Cerrada y desierta;Regulado;NO;;;;2/01/2024
CP-EXEC2023-005;EXEC;exenergy;1/11/2023;01/02/2024 al 31/12/2036;16/11/2023;27/11/2023;2/01/2024;12/01/2024;2/02/2024;Cerrada y desierta;Regulado;NO;;;;12/01/2024
CP-CDNC2023-004;CDNC;CEDENAR;3/11/2023;01/03/2024 al 31/12/2037;3/11/2023;28/11/2023;28/12/2023;12/01/2024;1/02/2024;Cerrada y adjudicada;Regulado;NO;;;;7/02/2024
CP-CQTC2023-003;CQTC;ELECTROCAQUETA;9/11/2023;01/03/2024 al 31/12/2041;9/11/2023;1/12/2023;3/01/2024;17/01/2024;7/02/2024;Abierta;Regulado;NO;;;;
CP-EVSC2023-002;EVSC;EMEVASI;17/11/2023;01/03/2024 al 31/12/2024;17/11/2023;11/12/2023;11/01/2024;24/01/2024;14/02/2024;Cerrada y desierta;Regulado;NO;;;;26/01/2024
CP-CNSC2023-004;CNSC;CENS;11/12/2023;01/01/2025 al 31/12/2039;11/12/2023;3/01/2024;1/02/2024;14/02/2024;4/03/2024;Abierta;Regulado;NO;;;;
